name,Chamber,Joined Congress,twitter,reelection,official
Doug Jones,Senate,01-03-18,DougJones,,
Doug Jones,Senate,01-03-18,sendougjones,,1
Richard Shelby,Senate,01-03-87,ShelbyForSenate,,
Richard Shelby,Senate,01-03-87,SenShelby,,1
Dan Sullivan,Senate,01-03-15,SenDanSullivan,,1
Lisa Murkowski,Senate,12/20/2002,LisaForSenate,,
Lisa Murkowski,Senate,12/20/2002,LisaMurkowski,,1
Kyrsten Sinema,Senate,01-03-19,kyrstensinema,,
Kyrsten Sinema,Senate,01-03-19,SenatorSinema,,1
Martha McSally,Senate,01-03-19,MarthaMcSally,,
Martha McSally,Senate,01-03-19,SenMcSallyAZ,,1
Tom Cotton,Senate,01-03-15,TomCottonAR,,
Tom Cotton,Senate,01-03-15,SenTomCotton,,1
John Boozman,Senate,01-03-11,Boozman4AR,,0
John Boozman,Senate,01-03-11,JohnBoozman,,1
Dianne Feinstein,Senate,11-04-92,DianneFeinstein,,
Dianne Feinstein,Senate,11-04-92,SenFeinstein,,1
Kamala Harris,Senate,01-03-17,kamalaharris,,
Kamala Harris,Senate,01-03-17,SenKamalaHarris,,1
Cory Gardner,Senate,01-03-15,CoryGardner,,
Cory Gardner,Senate,01-03-15,SenCoryGardner,,1
Michael Bennet,Senate,1/21/2009,BennetForCO,,0
Michael Bennet,Senate,1/21/2009,SenatorBennet,,1
Chris Murphy,Senate,01-03-13,SenMurphyOffice,,
Chris Murphy,Senate,01-03-13,ChrisMurphyCT,,1
Richard Blumenthal,Senate,01-03-11,DickBlumenthal,,0
Richard Blumenthal,Senate,01-03-11,SenBlumenthal,,1
Tom Carper,Senate,01-03-01,TomCarperforDE,,
Tom Carper,Senate,01-03-01,SenatorCarper,,1
Chris Coons,Senate,11/15/2010,sencoonsoffice,,0
Chris Coons,Senate,11/15/2010,ChrisCoons,,1
Rick Scott,Senate,01-08-19,ScottforFlorida,,
Rick Scott,Senate,01-08-19,SenRickScott,,1
Marco Rubio,Senate,01-03-11,marcorubio,,1
David Perdue,Senate,01-03-15,Perduesenate,,
David Perdue,Senate,01-03-15,sendavidperdue,,1
Johnny Isakson,Senate,01-03-05,JohnnyIsakson,,
Johnny Isakson,Senate,01-03-05,SenatorIsakson,,1
Mazie Hirono,Senate,01-03-13,mazieforhawaii,,
Mazie Hirono,Senate,01-03-13,MazieHirono,,1
Brian Schatz,Senate,12/26/2012,brianschatz,,
Brian Schatz,Senate,12/26/2012,SenBrianSchatz,,1
Jim Risch,Senate,01-03-09,JimRisch,,
Jim Risch,Senate,01-03-09,SenatorRisch,,1
Mike Crapo,Senate,01-03-99,crapo4senate,,
Mike Crapo,Senate,01-03-99,MikeCrapo,,1
Dick Durbin,Senate,01-03-15,DickDurbin,,
Dick Durbin,Senate,01-03-15,SenatorDurbin,,1
Tammy Duckworth,Senate,01-03-17,tammyduckworth,,
Tammy Duckworth,Senate,01-03-17,TammyforIL,,
Tammy Duckworth,Senate,01-03-17,SenDuckworth,,1
Mike Braun,Senate,01-03-19,braun4indiana,,
Mike Braun,Senate,01-03-19,SenatorBraun,,1
Todd Young,Senate,01-03-19,ToddYoungIN,,
Todd Young,Senate,01-03-19,SenToddYoung,,1
Joni Ernst,Senate,01-03-19,joniernst,,
Joni Ernst,Senate,01-03-19,SenJoniErnst,,1
Chuck Grassley,Senate,01-03-19,GrassleyPress,,
Chuck Grassley,Senate,01-03-19,ChuckGrassley,,1
Pat Roberts,Senate,01-03-97,PatRoberts,,
Pat Roberts,Senate,01-03-97,SenPatRoberts,,1
Jerry Moran,Senate,01-03-11,JerryMoran,,1
Mitch McConnell,Senate,01-03-15,senatemajldr,,
Mitch McConnell,Senate,01-03-15,McConnellPress,,1
Rand Paul,Senate,01-03-11,DrRandPaul,,
Rand Paul,Senate,01-03-11,RandPaul,,1
Bill Cassidy,Senate,01-03-15,SenBillCassidy,,1
John Kennedy,Senate,01-03-17,JohnKennedyLA,,
John Kennedy,Senate,01-03-17,SenJohnKennedy,,1
Angus King,Senate,01-03-13,SenAngusKing,,1
Susan Collins,Senate,01-03-97,SenSusanCollins,,
Susan Collins,Senate,01-03-97,SenatorCollins,,1
Ben Cardin,Senate,01-03-07,BenCardinforMD,,
Ben Cardin,Senate,01-03-07,SenatorCardin,,1
Chris Van Hollen,Senate,01-03-17,VanHollenForMD,,
Chris Van Hollen,Senate,01-03-17,ChrisVanHollen,,1
Elizabeth Warren,Senate,01-03-13,elizabethforma,,
Elizabeth Warren,Senate,01-03-13,SenWarren,,1
Ed Markey,Senate,7/16/2013,EdMarkey,,
Ed Markey,Senate,7/16/2013,SenMarkey,,1
Debbie Stabenow,Senate,01-03-01,stabenow,,
Debbie Stabenow,Senate,01-03-01,SenStabenow,,1
Gary Peters,Senate,01-03-19,Peters4Michigan,,
Gary Peters,Senate,01-03-19,SenGaryPeters,,1
Amy Klobuchar,Senate,01-03-07,amyklobuchar,,
Amy Klobuchar,Senate,01-03-07,SenAmyKlobuchar,,1
Tina Smith,Senate,01-03-18,TinaSmithMN,,
Tina Smith,Senate,01-03-18,SenTinaSmith,,1
Roger Wicker,Senate,12/31/2007,RogerWicker,,
Roger Wicker,Senate,12/31/2007,SenatorWicker,,1
Cindy Hyde-Smith,Senate,04-09-18,cindyhydesmith,,
Cindy Hyde-Smith,Senate,04-09-18,SenHydeSmith,,1
Josh Hawley,Senate,01-03-19,HawleyMO,,
Josh Hawley,Senate,01-03-19,SenHawleyPress,,1
Roy Blunt,Senate,04-10-18,RoyBlunt,,1
Jon Tester,Senate,01-03-07,jontester,,
Jon Tester,Senate,01-03-07,SenatorTester,,1
Steve Daines,Senate,01-03-15,DainesforMT,,
Steve Daines,Senate,01-03-15,SteveDaines,,1
Deb Fischer,Senate,01-03-13,DebFischerNE,,
Deb Fischer,Senate,01-03-13,SenatorFischer,,1
Ben Sasse,Senate,01-03-15,BenSasse,,
Ben Sasse,Senate,01-03-15,SenSasse,,1
Jacky Rosen,Senate,01-03-19,RosenforNevada,,
Jacky Rosen,Senate,01-03-19,SenJackyRosen,,1
Catherine Cortez Masto,Senate,01-03-19,CatherineForNV,,
Catherine Cortez Masto,Senate,01-03-19,sencortezmasto,,1
Jeanne Shaheen,Senate,01-03-09,JeanneShaheen,,
Jeanne Shaheen,Senate,01-03-09,SenatorShaheen,,1
Maggie Hassan,Senate,01-03-17,Maggie_Hassan,,
Maggie Hassan,Senate,01-03-17,Senatorhassan,,1
Robert Menendez,Senate,1/17/2006,BobMenendezNJ,,
Robert Menendez,Senate,1/17/2006,SenatorMenendez,,1
Cory Booker,Senate,10/31/2013,corybooker,,0
Cory Booker,Senate,10/31/2013,SenBooker,,1
Martin Heinrich,Senate,01-03-13,TeamHeinrich,,
Martin Heinrich,Senate,01-03-13,MartinHeinrich,,1
Tom Udall,Senate,01-03-09,tomudall,,
Tom Udall,Senate,01-03-09,SenatorTomUdall,,1
Kirsten Gillibrand,Senate,1/26/2009,sengillibrand,,
Kirsten Gillibrand,Senate,1/26/2009,GillibrandNY,,1
Chuck Schumer,Senate,01-03-17,chuckschumer,,
Chuck Schumer,Senate,01-03-17,SenSchumer,,1
Thom Tillis,Senate,01-03-15,ThomTillis,,
Thom Tillis,Senate,01-03-15,senthomtillis,,1
Richard Burr,Senate,01-03-05,BurrForSenate,,0
Richard Burr,Senate,01-03-05,SenatorBurr,,1
Kevin Cramer,Senate,01-03-19,kevincramer,,
Kevin Cramer,Senate,01-03-19,SenKevinCramer,,1
John Hoeven,Senate,01-03-11,hoeven4senate,,
John Hoeven,Senate,01-03-11,SenJohnHoeven,,1
Sherrod Brown,Senate,01-03-07,SherrodBrown,,
Sherrod Brown,Senate,01-03-07,SenSherrodBrown,,1
Rob Portman,Senate,01-03-11,robportman,,
Rob Portman,Senate,01-03-11,SenRobPortman,,1
James Inhofe,Senate,11/16/1994,inhofepress,,
James Inhofe,Senate,11/16/1994,JimInhofe,,1
James Lankford,Senate,01-03-15,jameslankford,,
James Lankford,Senate,01-03-15,SenatorLankford,,1
Jeff Merkley,Senate,01-03-09,JeffMerkley,,
Jeff Merkley,Senate,01-03-09,SenJeffMerkley,,1
Ron Wyden,Senate,02-05-96,WydenForOregon,,
Ron Wyden,Senate,02-05-96,RonWyden,,1
Bob Casey Jr.,Senate,01-03-07,Bob_Casey,,
Bob Casey Jr.,Senate,01-03-07,SenBobCasey,,1
Pat Toomey,Senate,01-03-11,PatToomey,,
Pat Toomey,Senate,01-03-11,SenToomey,,1
Sheldon Whitehouse,Senate,01-03-07,SheldonforRI,,
Sheldon Whitehouse,Senate,01-03-07,SenWhitehouse,,1
Jack Reed,Senate,01-03-97,jackreed2020,,
Jack Reed,Senate,01-03-97,SenJackReed,,1
Lindsey Graham,Senate,01-03-03,LindseyGrahamSC,,
Lindsey Graham,Senate,01-03-03,GrahamBlog,,1
Tim Scott,Senate,01-02-13,votetimscott,,
Tim Scott,Senate,01-02-13,SenatorTimScott,,1
Mike Rounds,Senate,01-03-15,RoundsforSenate,,
Mike Rounds,Senate,01-03-15,SenatorRounds,,1
John Thune,Senate,01-03-19,johnthune,,
John Thune,Senate,01-03-19,SenJohnThune,,1
Marsha Blackburn,Senate,01-03-19,VoteMarsha,,
Marsha Blackburn,Senate,01-03-19,MarshaBlackburn,,1
Lamar Alexander,Senate,01-03-03,LamarAlexander,,0
Lamar Alexander,Senate,01-03-03,SenAlexander,,1
Ted Cruz,Senate,01-03-13,tedcruz,,
Ted Cruz,Senate,01-03-13,SenTedCruz,,1
John Cornyn,Senate,12-02-02,TeamCornyn,,0
John Cornyn,Senate,12-02-02,JohnCornyn,,1
Mitt Romney,Senate,01-03-19,MittRomney,,
Mitt Romney,Senate,01-03-19,SenatorRomney,,1
Mike Lee,Senate,01-03-19,MikeLeeforUtah,,
Mike Lee,Senate,01-03-19,SenMikeLee,,1
Bernie Sanders,Senate,01-03-07,BernieSanders,,
Bernie Sanders,Senate,01-03-07,SenSanders,,1
Patrick Leahy,Senate,01-03-75,PatrickLeahy,,
Patrick Leahy,Senate,01-03-75,SenatorLeahy,,1
Tim Kaine,Senate,01-03-13,timkaine,,1
Mark Warner,Senate,01-03-17,SenatorWarner,,
Mark Warner,Senate,01-03-17,MarkWarner,,1
Maria Cantwell,Senate,01-03-01,MariaCantwell,,
Maria Cantwell,Senate,01-03-01,SenatorCantwell,,1
Patty Murray,Senate,01-03-17,MurrayCampaign,,
Patty Murray,Senate,01-03-17,PattyMurray,,1
Joe Manchin,Senate,11/15/2010,JoeManchinWV,,
Joe Manchin,Senate,11/15/2010,Sen_JoeManchin,,1
Shelley Moore Capito,Senate,01-03-15,CapitoforWV,,0
Shelley Moore Capito,Senate,01-03-15,SenCapito,,1
Tammy Baldwin,Senate,01-03-13,tammybaldwin,,
Tammy Baldwin,Senate,01-03-13,SenatorBaldwin,,1
Ron Johnson,Senate,01-03-11,RonJohnsonWI,,
Ron Johnson,Senate,01-03-11,SenRonJohnson,,1
John Barrasso,Senate,01-03-19,barrassoforwyo,,
John Barrasso,Senate,01-03-19,SenJohnBarrasso,,1
Mike Enzi,Senate,01-03-97,EnziforWyo,,
Mike Enzi,Senate,01-03-97,SenatorEnzi,,1
Abby Finkenauer,House,01-03-19,Abby4Iowa,,
Abby Finkenauer,House,01-03-19,RepFinkenauer,,1
Abigail Spanberger,House,01-03-19,SpanbergerVA07,,
Abigail Spanberger,House,01-03-19,RepSpanberger,,1
Adam Kinzinger,House,01-03-13,AdamKinzinger,,
Adam Kinzinger,House,01-03-13,RepKinzinger,,1
Adam Schiff,House,01-03-01,AdamSchiff,,
Adam Schiff,House,01-03-01,RepAdamSchiff,,1
Adam Smith,House,01-03-97,electadamsmith,,
Adam Smith,House,01-03-97,RepAdamSmith,,1
Adrian Smith,House,01-03-07,RepAdrianSmith,,1
Adriano Espaillat,House,01-03-17,EspaillatNY,,
Adriano Espaillat,House,01-03-17,RepEspaillat,,1
Al Green,House,01-03-05,RepAlGreen,,1
Al Lawson,House,01-03-17,AlLawsonJr,,
Al Lawson,House,01-03-17,RepAlLawsonJr,,1
Alan Lowenthal,House,01-03-13,alanlowenthal,,
Alan Lowenthal,House,01-03-13,RepLowenthal,,1
Albio Sires,House,01-03-13,AlbioSiresNJ,,
Albio Sires,House,01-03-13,RepSires,,1
Alcee Hastings,House,01-03-93,alcee4congress,,
Alcee Hastings,House,01-03-93,RepHastingsFL,,1
Alex Mooney,House,01-03-15,MooneyforWV,,
Alex Mooney,House,01-03-15,RepAlexMooney,,1
Alexandria Ocasio-Cortez,House,01-03-19,AOC,,
Alexandria Ocasio-Cortez,House,01-03-19,RepAOC,,1
Alma Adams,House,11-04-14,AlmaforCongress,,
Alma Adams,House,11-04-14,RepAdams,,1
Amata Coleman Radewagen,House,01-03-15,RepAmata,,1
Ami Bera,House,01-03-13,BeraForCongress,,
Ami Bera,House,01-03-13,RepBera,,1
André Carson,House,03-11-08,Andre4Congress,,
André Carson,House,03-11-08,RepAndreCarson,,1
Andy Barr,House,01-03-13,barrforcongress,,
Andy Barr,House,01-03-13,RepAndyBarr,,1
Andy Biggs,House,01-03-17,andybiggs4az,,
Andy Biggs,House,01-03-17,RepAndyBiggsAZ,,1
Andy Harris,House,01-03-11,Harris4Congress,,
Andy Harris,House,01-03-11,RepAndyHarrisMD,,1
Andy Kim,House,01-03-19,AndyKimNJ,,
Andy Kim,House,01-03-19,RepAndyKimNJ,,1
Andy Levin,House,01-03-19,Andy_Levin,,
Andy Levin,House,01-03-19,RepAndyLevin,,1
Angie Craig,House,01-03-19,AngieCraigMN,,
Angie Craig,House,01-03-19,RepAngieCraig,,1
Ann Kirkpatrick,House,01-03-19,Ann_Kirkpatrick,,
Ann Kirkpatrick,House,01-03-19,RepKirkpatrick,,1
Ann McLane Kuster,House,01-03-13,AnnMcLaneKuster,,
Ann McLane Kuster,House,01-03-13,RepAnnieKuster,,1
Ann Wagner,House,01-03-13,AnnLWagner,,
Ann Wagner,House,01-03-13,RepAnnWagner,,1
Anna Eshoo,House,01-03-13,Eshoo4Congress,,
Anna Eshoo,House,01-03-13,RepAnnaEshoo,,1
Anthony Brindisi,House,01-03-19,ABrindisiNY,,0
Anthony Brindisi,House,01-03-19,RepBrindisi,,1
Anthony G. Brown,House,01-03-17,anthonybrownmd4,,
Anthony G. Brown,House,01-03-17,RepAnthonyBrown,,1
Anthony Gonzalez,House,01-03-19,anthonygonzalez,,
Anthony Gonzalez,House,01-03-19,RepAGonzalez,,1
Antonio Delgado,House,01-03-19,DelgadoforNY19,,
Antonio Delgado,House,01-03-19,repdelgado,,1
Austin Scott,House,01-03-11,AustinScott4GA,,
Austin Scott,House,01-03-11,AustinScottGA08,,1
Ayanna Pressley,House,01-03-19,AyannaPressley,,
Ayanna Pressley,House,01-03-19,RepPressley,,1
Barbara Lee,House,4/21/1998,BLeeForCongress,,
Barbara Lee,House,4/21/1998,RepBarbaraLee,,1
Barry Loudermilk,House,01-03-15,standwithbarry,,
Barry Loudermilk,House,01-03-15,RepLoudermilk,,1
Ben Cline,House,01-03-19,Cline4Virginia,,0
Ben Cline,House,01-03-19,RepBenCline,,1
Ben McAdams,House,01-03-19,BenMcAdams,,
Ben McAdams,House,01-03-19,RepBenMcAdams,,1
Ben Ray Luján,House,01-03-09,peopleforben,,
Ben Ray Luján,House,01-03-09,ChairmanDCCC,,
Ben Ray Luján,House,01-03-09,RepBenRayLujan,,1
Bennie Thompson,House,4/13/1993,BGThompsonMS,,
Bennie Thompson,House,4/13/1993,BennieGThompson,,1
Betty McCollum,House,01-03-01,VoteBetty,,
Betty McCollum,House,01-03-01,BettyMcCollum04,,1
Bill Flores,House,01-03-11,Flores4Congress,,
Bill Flores,House,01-03-11,RepBillFlores,,1
Bill Foster,House,01-03-13,RepBillFoster,,1
Bill Huizenga,House,01-03-11,billhuizenga,,
Bill Huizenga,House,01-03-11,RepHuizenga,,1
Bill Johnson,House,01-03-11,JohnsonLeads,,
Bill Johnson,House,01-03-11,RepBillJohnson,,1
Bill Keating,House,01-03-11,WilliamKeating,,
Bill Keating,House,01-03-11,USRepKeating,,1
Bill Pascrell,House,01-03-13,PascrellforNJ,,
Bill Pascrell,House,01-03-13,BillPascrell,,1
Bill Posey,House,01-03-09,CongBillPosey,,1
Billy Long,House,01-03-11,USRepLong,,1
Blaine Luetkemeyer,House,01-03-13,repblainepress,,
Blaine Luetkemeyer,House,01-03-13,LuetkemeyerB,,
Blaine Luetkemeyer,House,01-03-13,RepBlaine,,1
Bob Gibbs,House,01-03-13,RepBobGibbs,,1
Bob Latta,House,12-11-07,latta4congress,,
Bob Latta,House,12-11-07,boblatta,,1
Bobby Rush,House,01-03-93,BobbyLRushMC,,
Bobby Rush,House,01-03-93,RepBobbyRush,,1
Bobby Scott,House,01-03-93,BobbyScott4VA3,,
Bobby Scott,House,01-03-93,BobbyScott,,1
Bonnie Watson Coleman,House,01-03-15,Bonnie4Congress,,
Bonnie Watson Coleman,House,01-03-15,RepBonnie,,1
Brad Schneider,House,01-03-17,Schneider4IL10,,
Brad Schneider,House,01-03-17,repschneider,,1
Brad Sherman,House,01-03-97,BradSherman,,1
Brad Wenstrup,House,01-03-13,bradwenstrup,,
Brad Wenstrup,House,01-03-13,RepBradWenstrup,,1
Bradley Byrne,House,01-08-14,BradleyByrne,,
Bradley Byrne,House,01-08-14,RepByrne,,1
Brenda Lawrence,House,01-03-15,BrendaLLawrence,,
Brenda Lawrence,House,01-03-15,RepLawrence,,1
Brendan Boyle,House,01-03-15,repbrendanboyle,,
Brendan Boyle,House,01-03-15,CongBoyle,,1
Brett Guthrie,House,01-03-09,brettguthrie,,
Brett Guthrie,House,01-03-09,RepGuthrie,,1
Brian Babin,House,01-03-15,Babin4Congress,,
Brian Babin,House,01-03-15,RepBrianBabin,,1
Brian Fitzpatrick,House,01-03-17,BrianFitzUSA,,
Brian Fitzpatrick,House,01-03-17,repbrianfitz,,1
Brian Higgins,House,01-03-13,Higgins4WNY,,
Brian Higgins,House,01-03-13,RepBrianHiggins,,1
Brian Mast,House,01-03-17,BrianMastFL,,
Brian Mast,House,01-03-17,repbrianmast,,1
Bruce Westerman,House,01-03-15,bruce_westerman,,
Bruce Westerman,House,01-03-15,WestermanAR,,
Bruce Westerman,House,01-03-15,RepWesterman,,1
Bryan Steil,House,01-03-19,BryanSteilforWI,,
Bryan Steil,House,01-03-19,RepBryanSteil,,1
Buddy Carter,House,01-03-15,Buddy_Carter,,
Buddy Carter,House,01-03-15,RepBuddyCarter,,1
Carol Miller,House,01-03-19,CarolMillerWV,,
Carol Miller,House,01-03-19,RepCarolMiller,,1
Carolyn Maloney,House,01-03-93,CarolynBMaloney,,
Carolyn Maloney,House,01-03-93,RepMaloney,,1
Cathy McMorris Rodgers,House,01-03-05,TeamCMR,,
Cathy McMorris Rodgers,House,01-03-05,CathyMcMorris,,1
Cedric Richmond,House,01-03-11,CedricRichmond,,
Cedric Richmond,House,01-03-11,RepRichmond,,1
Charlie Crist,House,01-03-17,CharlieCrist,,
Charlie Crist,House,01-03-17,repcharliecrist,,1
Chellie Pingree,House,01-03-09,PingreeForME,,
Chellie Pingree,House,01-03-09,ChelliePingree,,1
Cheri Bustos,House,01-03-13,CheriBustos,,
Cheri Bustos,House,01-03-13,RepCheri,,1
Chip Roy,House,01-03-19,chiproytx,,
Chip Roy,House,01-03-19,RepChipRoy,,1
Chris Collins,House,01-03-13,CollinsNY27,,
Chris Collins,House,01-03-13,RepChrisCollins,,1
Chris Pappas,House,01-03-19,ChrisPappasNH,,
Chris Pappas,House,01-03-19,RepChrisPappas,,1
Chris Stewart,House,01-03-13,StewartforUtah,,
Chris Stewart,House,01-03-13,RepChrisStewart,,1
Chrissy Houlahan,House,01-03-19,HoulahanForPa,,
Chrissy Houlahan,House,01-03-19,RepHoulahan,,1
Christopher Smith,House,01-03-81,RepChrisSmith,,1
Chuck Fleischmann,House,01-03-11,chuck4congress,,
Chuck Fleischmann,House,01-03-11,RepChuck,,1
Cindy Axne,House,01-03-19,Axne4Congress,,0
Cindy Axne,House,01-03-19,RepCindyAxne,,1
Clay Higgins,House,01-03-17,captclayhiggins,,
Clay Higgins,House,01-03-17,RepClayHiggins,,1
Colin Allred,House,01-03-19,ColinAllredTX,,0
Colin Allred,House,01-03-19,RepColinAllred,,1
Collin Peterson,House,01-03-91,collinpeterson,,1
Conor Lamb,House,04-12-18,ConorLambPA,,
Conor Lamb,House,04-12-18,RepConorLamb,,1
Dan Crenshaw,House,01-03-19,DanCrenshawTX,,
Dan Crenshaw,House,01-03-19,RepDanCrenshaw,,1
Dan Kildee,House,01-03-13,dankildee,,
Dan Kildee,House,01-03-13,RepDanKildee,,1
Dan Lipinski,House,01-03-05,DanLipinski,,
Dan Lipinski,House,01-03-05,RepLipinski,,1
Dan Meuser,House,01-03-19,Meuser4Congress,,
Dan Meuser,House,01-03-19,RepMeuser,,1
Dan Newhouse,House,01-03-15,Newhouse4Rep,,
Dan Newhouse,House,01-03-15,RepNewhouse,,1
Daniel Webster,House,01-03-11,WebsterCongress,,
Daniel Webster,House,01-03-11,RepWebster,,1
Danny K. Davis,House,01-03-97,RepDannyDavis,,1
Darin LaHood,House,09-10-15,ElectLaHood,,
Darin LaHood,House,09-10-15,RepLaHood,,1
Darren Soto,House,01-03-17,DarrenSoto,,
Darren Soto,House,01-03-17,RepDarrenSoto,,1
Dave Loebsack,House,01-03-07,DaveForIowa,,
Dave Loebsack,House,01-03-07,DaveLoebsack,,1
David Cicilline,House,01-03-11,davidcicilline,,
David Cicilline,House,01-03-11,RepCicilline,,1
David Joyce,House,01-03-13,DaveJoyceOH14,,
David Joyce,House,01-03-13,RepDaveJoyce,,1
David Kustoff,House,01-03-17,DavidKustoff,,
David Kustoff,House,01-03-17,repdavidkustoff,,1
David McKinley,House,01-03-11,RepMcKinley,,1
David Price,House,01-03-97,DPrice4Congress,,
David Price,House,01-03-97,RepDavidEPrice,,1
David Rouzer,House,01-03-15,DavidRouzer,,
David Rouzer,House,01-03-15,RepDavidRouzer,,1
David Schweikert,House,01-03-13,DavidSchweikert,,
David Schweikert,House,01-03-13,RepDavid,,1
David Scott,House,01-03-03,Electdavidscott,,
David Scott,House,01-03-03,RepDavidScott,,1
David Trone,House,01-03-19,davidjtrone,,
David Trone,House,01-03-19,repdavidtrone,,1
Dean Phillips,House,01-03-19,deanbphillips,,
Dean Phillips,House,01-03-19,RepDeanPhillips,,1
Deb Haaland,House,01-03-19,Deb4CongressNM,,
Deb Haaland,House,01-03-19,RepDebHaaland,,1
Debbie Dingell,House,01-03-15,DebDingell,,
Debbie Dingell,House,01-03-15,RepDebDingell,,1
Debbie Lesko,House,05-07-18,DebbieLesko,,
Debbie Lesko,House,05-07-18,RepDLesko,,1
Debbie Mucarsel-Powell,House,01-03-19,DebbieforFL,,
Debbie Mucarsel-Powell,House,01-03-19,RepDMP,,1
Debbie Wasserman Schultz,House,01-03-05,dwstweets,,
Debbie Wasserman Schultz,House,01-03-05,RepDWStweets,,1
Dennis Heck,House,01-03-13,DennyHeck,,
Dennis Heck,House,01-03-13,RepDennyHeck,,1
Denver Riggleman,House,01-03-19,Denver4VA,,
Denver Riggleman,House,01-03-19,RepRiggleman,,1
Derek Kilmer,House,01-03-13,DerekKilmer,,
Derek Kilmer,House,01-03-13,RepDerekKilmer,,1
Devin Nunes,House,01-03-03,DevinNunes,,
Devin Nunes,House,01-03-03,DevinGNunes,,
Devin Nunes,House,01-03-03,RepDevinNunes,,1
Diana DeGette,House,01-03-97,DeGette5280,,
Diana DeGette,House,01-03-97,RepDianaDeGette,,1
Dina Titus,House,01-03-13,dinatitus,,
Dina Titus,House,01-03-13,RepDinaTitus,,1
Don Bacon,House,01-03-17,DonJBacon,,
Don Bacon,House,01-03-17,repdonbacon,,1
Don Beyer,House,01-03-15,DonBeyerVA,,
Don Beyer,House,01-03-15,RepDonBeyer,,1
Don Young,House,12-05-17,DonYoungAK,,
Don Young,House,12-05-17,RepDonYoung,,1
Donald McEachin,House,01-03-17,Donald_McEachin,,
Donald McEachin,House,01-03-17,RepMcEachin,,1
Donald Norcross,House,11-12-14,DonNorcross4NJ,,
Donald Norcross,House,11-12-14,DonaldNorcross,,1
Donald Payne Jr.,House,11/15/2012,payne10thnj,,
Donald Payne Jr.,House,11/15/2012,DonaldPayneJr,,
Donald Payne Jr.,House,11/15/2012,RepDonaldPayne,,1
Donna Shalala,House,01-03-19,DonnaShalala,,
Donna Shalala,House,01-03-19,RepShalala,,1
Doris Matsui,House,03-10-05,Matsui4Congress,,
Doris Matsui,House,03-10-05,DorisMatsui,,1
Doug Collins,House,01-03-13,Douglas_Collins,,
Doug Collins,House,01-03-13,RepDougCollins,,1
Doug LaMalfa,House,01-03-13,DougLaMalfa,,
Doug LaMalfa,House,01-03-13,RepLaMalfa,,1
Doug Lamborn,House,01-03-07,DougLambornCD5,,
Doug Lamborn,House,01-03-07,RepDLamborn,,1
Drew Ferguson,House,01-03-17,DrewFergusonGA,,
Drew Ferguson,House,01-03-17,RepDrewFerguson,,1
Duncan D. Hunter,House,01-03-13,Rep_Hunter,,1
Dusty Johnson,House,01-03-19,DustyJohnson,,
Dusty Johnson,House,01-03-19,RepDustyJohnson,,1
Dutch Ruppersberger,House,01-03-03,GoDutchForMD,,
Dutch Ruppersberger,House,01-03-03,Call_Me_Dutch,,1
Dwight Evans,House,11/14/2016,DwightEvansPA,,
Dwight Evans,House,11/14/2016,RepDwightEvans,,1
Earl Blumenauer,House,5/21/1996,repblumenauer,,1
Ed Case,House,01-03-19,EdCaseHawaii,,0
Ed Case,House,01-03-19,RepEdCase,,1
Ed Perlmutter,House,01-03-07,Ed4Colorado,,
Ed Perlmutter,House,01-03-07,RepPerlmutter,,1
Eddie Bernice Johnson,House,01-03-93,RepEBJ,,1
Elaine Luria,House,01-03-19,ElaineLuriaVA,,
Elaine Luria,House,01-03-19,RepElaineLuria,,1
Eleanor Holmes Norton,House,01-03-91,EleanorNorton,,1
Elijah Cummings,House,4/16/1996,ReElectCummings,,
Elijah Cummings,House,4/16/1996,RepCummings,,1
Eliot Engel,House,01-03-89,RepEliotEngel,,1
Elise Stefanik,House,01-03-15,EliseStefanik,,
Elise Stefanik,House,01-03-15,RepStefanik,,1
Elissa Slotkin,House,01-03-19,ElissaSlotkin,,
Elissa Slotkin,House,01-03-19,RepSlotkin,,1
Emanuel Cleaver,House,01-03-05,Vote4Cleaver,,
Emanuel Cleaver,House,01-03-05,RepCleaver,,1
Eric Swalwell,House,01-03-13,ericswalwell,,
Eric Swalwell,House,01-03-13,RepSwalwell,,1
Filemon Vela Jr.,House,01-03-13,FilemonVela,,
Filemon Vela Jr.,House,01-03-13,RepFilemonVela,,1
Francis Rooney,House,01-03-17,FrancisRooney,,
Francis Rooney,House,01-03-17,RepRooney,,1
Frank Lucas,House,05-10-94,FrankDLucas,,
Frank Lucas,House,05-10-94,RepFrankLucas,,1
Frank Pallone,House,01-03-19,pallonefornj,,
Frank Pallone,House,01-03-19,FrankPallone,,1
