icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
21159,renee,ellmers,reneeellmers,NC,House,NA,R,01/05/2011,01/03/2017,repreneeellmers,3,7087,0,0,4671,0.659,1
21159,renee,ellmers,reneeellmers,NC,House,NA,R,01/05/2011,01/03/2017,Ellmers_Renee,,,,,,,1
29736,joann,emerson,joannemerson,MO,House,NA,R,01/07/1997,1/22/2013,joannemerson,7,1972,0,0,1383,0.701,0
NA,tom,emmer,tomemmer,MN,House,6,R,01/06/2015,01/03/2019,reptomemmer,3,2476,0,0,2033,0.821,1
NA,tom,emmer,tomemmer,MN,House,6,R,01/06/2015,01/03/2019,tomemmer,,,,,,,1
15603,eliot,engel,eliotengel,NY,House,16,D,01/03/1989,01/03/2019,repeliotengel,2,2601,0,0,1381,0.531,0
29537,john,ensign,johnensign,NV,Senate,NA,R,01/04/1995,05/03/2011,johnensign,4,361,0,0,41,0.114,1
29537,john,ensign,johnensign,NV,Senate,NA,R,01/04/1995,05/03/2011,SenEnsign,,,,,,,1
21327,william,enyart,williamenyart,IL,House,NA,D,01/03/2013,01/03/2015,repbillenyart,6,387,0,0,351,0.907,1
21327,william,enyart,williamenyart,IL,House,NA,D,01/03/2013,01/03/2015,EnyartforIL12,,,,,,,1
49706,michael,enzi,michaelenzi,WY,Senate,NA,R,01/07/1997,01/03/2021,senatorenzi,0,3315,0,0,2935,0.885,1
49706,michael,enzi,michaelenzi,WY,Senate,NA,R,01/07/1997,01/03/2021,EnziforWyo,,,,,,,1
NA,joni,ernst,joniernst,IA,Senate,NA,R,01/06/2015,01/03/2021,senjoniernst,6,1352,0,0,1285,0.95,1
NA,joni,ernst,joniernst,IA,Senate,NA,R,01/06/2015,01/03/2021,joniernst,,,,,,,1
29312,anna,eshoo,annaeshoo,CA,House,18,D,01/05/1993,01/03/2019,repannaeshoo,0,1462,0,0,991,0.678,1
29312,anna,eshoo,annaeshoo,CA,House,18,D,01/05/1993,01/03/2019,Eshoo4Congress,,,,,,,1
NA,adriano,espaillat,adrianoespaillat,NY,House,13,D,01/03/2017,01/03/2019,repespaillat,4,1197,0,0,613,0.512,0
,ron,estes,ronestes,KS,House,4,R,,01/03/2019,RepRonEstes,,,,,,,1
,ron,estes,ronestes,KS,House,4,R,,01/03/2019,RonEstesKS,,,,,,,1
21316,elizabeth,esty,elizabethesty,CT,House,5,D,01/03/2013,01/03/2019,repesty,3,4724,0,0,3743,0.792,1
21316,elizabeth,esty,elizabethesty,CT,House,5,D,01/03/2013,01/03/2019,Elizabeth_Esty,,,,,,,1
NA,dwight,evans,dwightevans,PA,House,2,D,11/14/2016,01/03/2019,repdwightevans,3,9856,0,0,427,0.043,1
NA,dwight,evans,dwightevans,PA,House,2,D,11/14/2016,01/03/2019,DwightEvansPA,,,,,,,1
21184,blake,farenthold,blakefarenthold,TX,House,27,R,01/05/2011,01/03/2019,farenthold,7,5960,0,1,NA,NA,1
21184,blake,farenthold,blakefarenthold,TX,House,27,R,01/05/2011,01/03/2019,Elect_Blake,,,,,,,1
NA,john,faso,johnfaso,NY,House,19,R,01/03/2017,01/03/2019,repjohnfaso,3,212,1,0,140,0.66,1
,john,faso,johnfaso,NY,House,19,R,01/03/2017,01/03/2019,JohnFasoNy,,,,,,,1
29559,chaka,fattah,chakafattah,PA,House,NA,D,01/04/1995,6/23/2016,chakafattah,2,12923,0,0,7124,0.551,1
29559,chaka,fattah,chakafattah,PA,House,NA,D,01/04/1995,6/23/2016,Fattah4Congress,,,,,,,1
49309,russell,feingold,russellfeingold,WI,Senate,NA,D,01/05/1993,01/03/2011,russfeingold,1,2817,0,1,NA,NA,0
49300,dianne,feinstein,diannefeinstein,CA,Senate,NA,D,11/10/1992,01/03/2019,senfeinstein,0,4557,1,0,4230,0.928,1
49300,dianne,feinstein,diannefeinstein,CA,Senate,NA,D,11/10/1992,01/03/2019,DianneFeinstein,,,,,,,1
NA,drew,ferguson,drewferguson,GA,House,3,R,01/03/2017,01/03/2019,repdrewferguson,6,225,0,0,151,0.671,1
NA,drew,ferguson,drewferguson,GA,House,3,R,01/03/2017,01/03/2019,DrewFergusonGA,,,,,,,1
21181,stephen,fincher,stephenfincher,TN,House,NA,R,01/05/2011,01/03/2017,repfinchertn08,6,2964,0,0,2717,0.917,1
21181,stephen,fincher,stephenfincher,TN,House,NA,R,01/05/2011,01/03/2017,StephenFincher,,,,,,,1
21181,stephen,fincher,stephenfincher,TN,House,NA,R,01/05/2011,01/03/2017,VoteFincher,,,,,,,1
41302,deb,fischer,debfischer,NE,Senate,NA,R,01/03/2013,01/03/2019,senatorfischer,3,3456,0,0,3077,0.89,1
41302,deb,fischer,debfischer,NE,Senate,NA,R,01/03/2013,01/03/2019,DebFischerNE,,,,,,,1
NA,brian,fitzpatrick,brianfitzpatrick,PA,House,8,R,01/03/2017,01/03/2019,repbrianfitz,0,263,0,0,168,0.639,1
,brian,fitzpatrick,brianfitzpatrick,PA,House,8,R,01/03/2017,01/03/2019,BrianFitzUSA,,,,,,,1
20524,michael,fitzpatrick,michaelfitzpatrick,PA,House,NA,R,01/04/2005,01/03/2017,repfitzpatrick,6,5254,0,0,4188,0.797,0
20100,jeff,flake,jeffflake,AZ,Senate,NA,R,01/03/2001,01/03/2019,jeffflake,5,2046,0,0,1769,0.865,0
21178,charles,fleischmann,charlesfleischmann,TN,House,3,R,01/05/2011,01/03/2019,repchuck,4,1643,0,0,1498,0.912,1
21178,charles,fleischmann,charlesfleischmann,TN,House,3,R,01/05/2011,01/03/2019,chuck4congress,,,,,,,1
20918,john,fleming,johnfleming,LA,House,NA,R,01/06/2009,01/03/2017,repfleming,0,1648,0,0,1451,0.88,0
21182,bill,flores,billflores,TX,House,17,R,01/05/2011,01/03/2019,repbillflores,6,6546,0,0,4780,0.73,1
21182,bill,flores,billflores,TX,House,17,R,01/05/2011,01/03/2019,Flores4Congress,,,,,,,1
20143,j,forbes,jforbes,VA,House,NA,R,6/26/2001,01/03/2017,randy_forbes,0,3321,0,0,3006,0.905,1
20143,j,forbes,jforbes,VA,House,NA,R,6/26/2001,01/03/2017,RepRandyForbes,,,,,,,1
20518,jeff,fortenberry,jefffortenberry,NE,House,1,R,01/04/2005,01/03/2019,jefffortenberry,3,2163,0,0,1697,0.785,0
20749,bill,foster,billfoster,IL,House,11,D,03/08/2008,01/03/2019,repbillfoster,2,2300,0,0,1782,0.775,1
20749,bill,foster,billfoster,IL,House,11,D,03/08/2008,01/03/2019,Foster4Congress,,,,,,,1
20521,virginia,foxx,virginiafoxx,NC,House,5,R,01/04/2005,01/03/2019,virginiafoxx,2,3424,1,1,NA,NA,1
20521,virginia,foxx,virginiafoxx,NC,House,5,R,01/04/2005,01/03/2019,foxxforcongress,,,,,,,1
14824,barney,frank,barneyfrank,MA,House,NA,D,01/05/1981,01/03/2013,barneyfrank,3,223,1,1,NA,NA,0
21321,lois,frankel,loisfrankel,FL,House,21,D,01/03/2013,01/03/2019,reploisfrankel,5,3815,0,0,3020,0.792,1
21321,lois,frankel,loisfrankel,FL,House,21,D,01/03/2013,01/03/2019,LoisFrankel,,,,,,,1
40904,alan,franken,alanfranken,MN,Senate,NA,D,07/07/2009,01/03/2021,alfranken,5,2975,0,1,NA,NA,1
40904,alan,franken,alanfranken,MN,Senate,NA,D,07/07/2009,01/03/2021,SenFranken,,,,,,,1
20304,trent,franks,trentfranks,AZ,House,8,R,01/07/2003,01/03/2019,reptrentfranks,2,2155,0,0,1622,0.753,0
29541,rodney,frelinghuysen,rodneyfrelinghuysen,NJ,House,11,R,01/04/1995,01/03/2019,usreprodney,0,857,0,0,841,0.981,0
20941,marcia,fudge,marciafudge,OH,House,11,D,11/19/2008,01/03/2019,repmarciafudge,6,4750,0,0,4002,0.843,1
20941,marcia,fudge,marciafudge,OH,House,11,D,11/19/2008,01/03/2019,mlfudge,,,,,,,1
21324,tulsi,gabbard,tulsigabbard,HI,House,2,D,01/03/2013,01/03/2019,tulsipress,0,2510,0,0,2059,0.82,1
21324,tulsi,gabbard,tulsigabbard,HI,House,2,D,01/03/2013,01/03/2019,TulsiGabbard,,,,,,,1
NA,matt,gaetz,mattgaetz,FL,House,1,R,01/03/2017,01/03/2019,mattgaetz,0,6345,0,0,195,0.031,1
,matt,gaetz,mattgaetz,FL,House,1,R,01/03/2017,01/03/2019,RepMattGaetz,,,,,,,1
NA,mike,gallagher,mikegallagher,WI,House,8,R,01/03/2017,01/03/2019,repgallagher,5,315,0,0,213,0.676,1
,mike,gallagher,mikegallagher,WI,House,8,R,01/03/2017,01/03/2019,MikeforWI,,,,,,,1
15413,elton,gallegly,eltongallegly,CA,House,NA,R,01/06/1987,01/03/2013,eltongallegly24,2,397,1,0,NA,NA,0
21363,pete,gallego,petegallego,TX,House,NA,D,01/03/2013,01/03/2015,pete4tx,2,857,0,0,209,0.244,1
21363,pete,gallego,petegallego,TX,House,NA,D,01/03/2013,01/03/2015,petegallego,,,,,,,1
NA,ruben,gallego,rubengallego,AZ,House,7,D,01/06/2015,01/03/2019,reprubengallego,2,2288,0,0,1689,0.738,1
NA,ruben,gallego,rubengallego,AZ,House,7,D,01/06/2015,01/03/2019,RubenGallego,,,,,,,1
20958,john,garamendi,johngaramendi,CA,House,3,D,11/03/2009,01/03/2019,repgaramendi,0,10410,1,0,6138,0.59,1
20958,john,garamendi,johngaramendi,CA,House,3,D,11/03/2009,01/03/2019,JohnGaramendi,,,,,,,1
21322,joe,garcia,joegarcia,FL,House,NA,D,01/03/2013,01/03/2015,joegarcia,7,3836,0,0,1388,0.362,0
21112,cory,gardner,corygardner,CO,Senate,NA,R,01/05/2011,01/03/2021,sencorygardner,2,3411,0,0,3071,0.9,1
21112,cory,gardner,corygardner,CO,Senate,NA,R,01/05/2011,01/03/2021,CoryGardner,,,,,,,1
NA,thomas,garrett,thomasgarrett,VA,House,5,R,01/03/2017,01/03/2019,rep_tom_garrett,1,259,0,0,190,0.734,1
,thomas,garrett,thomasgarrett,VA,House,5,R,01/03/2017,01/03/2019,RepTomGarrett,,,,,,,1
20336,scott,garrett,scottgarrett,NJ,House,NA,R,01/07/2003,01/03/2017,repgarrett,0,800,0,0,711,0.889,0
21165,bob,gibbs,bobgibbs,OH,House,7,R,01/05/2011,01/03/2019,repbobgibbs,6,2708,0,0,1948,0.719,0
21156,christopher,gibson,christophergibson,NY,House,NA,R,01/05/2011,01/03/2017,repchrisgibson,2,1685,0,0,1548,0.919,1
21156,christopher,gibson,christophergibson,NY,House,NA,R,01/05/2011,01/03/2017,ChrisGibsonNY,,,,,,,1
20701,gabrielle,giffords,gabriellegiffords,AZ,House,NA,D,01/04/2007,1/25/2012,gabbygiffords,0,2826,0,0,1211,0.429,0
20735,kirsten,gillibrand,kirstengillibrand,NY,Senate,NA,D,01/04/2007,01/03/2019,sengillibrand,0,14445,0,0,12923,0.895,1
20735,kirsten,gillibrand,kirstengillibrand,NY,Senate,NA,D,01/04/2007,01/03/2019,gillibrandny,,,,,,,1
20319,phil,gingrey,philgingrey,GA,House,NA,R,01/07/2003,01/03/2015,drphilgingrey,5,1875,0,0,426,0.227,1
20319,phil,gingrey,philgingrey,GA,House,NA,R,01/07/2003,01/03/2015,philgingreymd,7,976,0,0,67,0.069,1
20527,louie,gohmert,louiegohmert,TX,House,1,R,01/04/2005,01/03/2019,replouiegohmert,5,5400,0,1,NA,NA,1
20527,louie,gohmert,louiegohmert,TX,House,1,R,01/04/2005,01/03/2019,LouieGohmertTX1,,,,,,,1
29943,charles,gonzalez,charlesgonzalez,TX,House,NA,D,01/06/1999,01/03/2013,tx20charlieg,2,1039,0,0,324,0.312,1
29943,charles,gonzalez,charlesgonzalez,TX,House,NA,D,01/06/1999,01/03/2013,RepGonzalez,,,,,,,1
NA,vicente,gonzalez,vicentegonzalez,TX,House,15,D,01/03/2017,01/03/2019,vicentecongress,1,637,0,0,20,0.031,1
,vicente,gonzalez,vicentegonzalez,TX,House,15,D,01/03/2017,01/03/2019,RepGonzalez,,,,,,,1
39308,bob,goodlatte,bobgoodlatte,VA,House,6,R,01/05/1993,01/03/2019,repgoodlatte,7,5222,0,0,3921,0.751,1
39308,bob,goodlatte,bobgoodlatte,VA,House,6,R,01/05/1993,01/03/2019,BobGoodlatte6,,,,,,,1
21103,paul,gosar,paulgosar,AZ,House,4,R,01/05/2011,01/03/2019,repgosar,6,6931,0,0,5649,0.815,1
21103,paul,gosar,paulgosar,AZ,House,4,R,01/05/2011,01/03/2019,DrPaulGosar,,,,,,,1
NA,josh,gottheimer,joshgottheimer,NJ,House,5,D,01/03/2017,01/03/2019,repjoshg,7,362,1,0,265,0.732,1
,josh,gottheimer,joshgottheimer,NJ,House,5,D,01/03/2017,01/03/2019,JoshGottheimer,,,,,,,1
21175,trey,gowdy,treygowdy,SC,House,4,R,01/05/2011,01/03/2019,tgowdysc,2,1727,1,0,1372,0.794,1
21175,trey,gowdy,treygowdy,SC,House,4,R,01/05/2011,01/03/2019,tgowdy,,,,,,,1
