,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
95,2013-10-27,8121,1573,5829,1168,2292,405,3274,297,4716,1257,0.19369535771456717,0.09071472205253513,0.26653944020356235,0.20037742322868415,0.17670157068062828
96,2013-11-03,7748,1107,5444,761,2304,346,3698,238,3917,860,0.1428755807950439,0.06435911303407248,0.21955578248659688,0.13978692138133725,0.1501736111111111
97,2013-11-10,7755,1273,5584,943,2171,330,2976,232,4642,1028,0.16415215989684076,0.07795698924731183,0.2214562688496338,0.16887535816618912,0.15200368493781669
98,2013-11-17,7823,1133,5617,777,2206,356,3539,279,4149,830,0.1448293493544676,0.0788358293303193,0.20004820438659918,0.13833006943208118,0.1613780598368087
99,2013-11-24,4596,526,3240,381,1356,145,2252,120,2273,399,0.1144473455178416,0.05328596802841918,0.17553893532776066,0.1175925925925926,0.10693215339233038
100,2013-12-01,6946,938,5312,749,1634,189,3111,221,3723,705,0.13504175064785487,0.07103825136612021,0.18936341659951653,0.1410015060240964,0.11566707466340269
101,2013-12-08,7265,1105,5362,811,1903,294,3512,300,3641,793,0.1520991052993806,0.08542141230068337,0.21779730843174952,0.15124953375606118,0.15449290593799264
102,2013-12-15,5628,962,3774,588,1854,374,2458,200,3058,738,0.17093105899076047,0.08136696501220504,0.24133420536298233,0.15580286168521462,0.2017259978425027
103,2013-12-22,2506,383,1799,300,707,83,1133,91,1334,289,0.15283320031923384,0.08031774051191527,0.2166416791604198,0.16675931072818231,0.1173974540311174
104,2013-12-29,3232,501,2309,401,923,100,1479,100,1704,395,0.15501237623762376,0.0676132521974307,0.2318075117370892,0.1736682546556951,0.10834236186348863
105,2014-01-05,7229,1061,5081,791,2148,270,3383,323,3730,727,0.14676995435053258,0.09547738693467336,0.19490616621983914,0.1556780161385554,0.12569832402234637
106,2014-01-12,7814,1356,5497,973,2317,383,3344,409,4353,939,0.1735346813411825,0.1223086124401914,0.21571330117160578,0.17700563943969438,0.16529995684074233
107,2014-01-19,6713,747,4715,524,1998,223,3210,255,3392,479,0.1112766274392969,0.0794392523364486,0.14121462264150944,0.11113467656415695,0.11161161161161161
108,2014-01-26,11101,1908,8259,1444,2842,464,4694,386,6267,1506,0.17187640753085306,0.08223263740945888,0.24030636668262326,0.1748395689550793,0.16326530612244897
109,2014-02-02,8918,1452,6154,995,2764,457,3995,356,4812,1087,0.16281677506167302,0.08911138923654568,0.22589359933499584,0.16168345791355215,0.16534008683068016
110,2014-02-09,7660,1281,5407,928,2253,353,3496,281,4026,994,0.16723237597911228,0.08037757437070939,0.24689518132141083,0.17162936933604586,0.15667998224589436
111,2014-02-16,6448,883,4364,623,2084,260,2831,212,3483,655,0.13694168734491316,0.07488519957612151,0.18805627332759114,0.1427589367552704,0.12476007677543186
112,2014-02-23,8834,1409,6253,1011,2581,398,3833,343,4798,1049,0.15949739642291147,0.08948604226454475,0.21863276365152146,0.16168239245162322,0.15420379697791553
113,2014-03-02,8035,1358,5633,935,2402,423,3462,379,4425,965,0.1690105787181083,0.10947429231658001,0.21807909604519773,0.16598615302680633,0.17610324729392174
114,2014-03-09,9145,1299,6282,930,2863,369,4126,381,4863,908,0.14204483324220885,0.09234125060591372,0.18671601891836315,0.14804202483285578,0.12888578414250787
115,2014-03-16,7338,733,5193,512,2145,221,3371,170,3856,554,0.09989097846824747,0.05043013942450311,0.14367219917012447,0.09859426150587329,0.10303030303030303
116,2014-03-23,9428,1386,6637,1032,2791,354,4314,351,4947,1020,0.14700890963088672,0.08136300417246176,0.20618556701030927,0.1554919391291246,0.1268362594052311
117,2014-03-30,9441,1491,6678,1102,2763,389,4322,598,4954,867,0.1579281855735621,0.13836186950485888,0.1750100928542592,0.16501946690625935,0.1407889974665219
118,2014-04-06,9431,1516,6649,1140,2782,376,4717,689,4565,806,0.1607464743929594,0.14606741573033707,0.1765607886089814,0.17145435403820122,0.13515456506110712
119,2014-04-13,6777,767,4823,524,1954,243,2935,197,3738,552,0.11317692194186219,0.06712095400340716,0.1476725521669342,0.10864607091022185,0.12436028659160696
120,2014-04-20,7465,739,5331,503,2134,236,3480,215,3897,514,0.09899531145344943,0.0617816091954023,0.13189633051064922,0.09435377977865315,0.1105904404873477
121,2014-04-27,9480,1134,6895,773,2585,361,4337,392,4983,726,0.11962025316455696,0.09038505879640304,0.1456953642384106,0.11211022480058012,0.13965183752417795
122,2014-05-04,10343,1153,7382,814,2961,339,4887,426,5286,711,0.11147636082374553,0.08717004297114794,0.1345062429057889,0.11026821999458142,0.11448834853090173
123,2014-05-11,8903,839,6267,532,2636,307,4281,316,4500,514,0.09423789733797597,0.07381452931558047,0.11422222222222222,0.0848891016435296,0.11646433990895295
124,2014-05-18,9300,1122,6966,845,2334,277,4037,414,5107,693,0.12064516129032259,0.10255139955412435,0.13569610338750734,0.12130347401665231,0.11868037703513282
125,2014-05-25,7822,894,5818,691,2004,203,3499,250,4206,634,0.11429301968805931,0.07144898542440697,0.15073704232049454,0.11876933654176693,0.10129740518962076
126,2014-06-01,8487,946,5871,604,2616,342,3913,195,4465,744,0.11146459290679864,0.04983388704318937,0.16662933930571108,0.1028785556123318,0.13073394495412843
127,2014-06-08,8664,961,6240,687,2424,274,4265,362,4314,598,0.11091874422899353,0.08487690504103165,0.13861845155308297,0.11009615384615384,0.11303630363036303
128,2014-06-15,8705,1116,6202,766,2503,350,4079,361,4488,747,0.12820218265364733,0.08850208384407943,0.16644385026737968,0.1235085456304418,0.13983220135836996
129,2014-06-22,9840,1483,7349,1106,2491,377,4734,447,5009,1030,0.15071138211382115,0.0944233206590621,0.20562986624076662,0.1504966662130902,0.15134484142914492
130,2014-06-29,7490,933,5538,695,1952,238,3813,386,3586,541,0.12456608811748998,0.1012326252294781,0.1508644729503625,0.125496569158541,0.12192622950819672
131,2014-07-06,9372,1436,7142,1083,2230,353,4240,463,5023,962,0.15322236448997012,0.10919811320754717,0.19151901254230538,0.15163819658359004,0.15829596412556055
132,2014-07-13,10219,1438,7880,1097,2339,341,4941,571,5179,863,0.14071826988942165,0.11556365108277676,0.16663448542189613,0.13921319796954315,0.14578879863189398
133,2014-07-20,9616,1277,7124,963,2492,314,4407,378,5074,892,0.13279950083194675,0.08577263444520082,0.1757981868348443,0.13517686692869174,0.1260032102728732
134,2014-07-27,9248,1645,6741,1264,2507,381,4417,767,4682,865,0.17787629757785467,0.17364727190400725,0.18475010679196924,0.18750927162142114,0.1519744714798564
135,2014-08-03,7371,808,5548,616,1823,192,3654,265,3609,535,0.10961877628544295,0.07252326217843459,0.14824050983651982,0.1110310021629416,0.10532089961601755
136,2014-08-10,6543,669,4912,482,1631,187,3256,207,3202,456,0.10224667583677212,0.06357493857493858,0.1424109931292942,0.0981270358306189,0.11465358675659104
