handle,count,start_date,protected
HillaryClinton,11693,2013-04-09 18:04:35,False
SenDanCoats,5116,2010-11-05 15:56:49,False
HowardCoble,686,2011-06-10 02:48:54,False
coble4congress,113,2010-03-29 17:49:19,False
TomCoburn,0,2016-07-06 13:29:32,False
CoburnForSenate,657,2009-11-09 20:39:00,False
SenThadCochran,2075,2012-04-16 22:33:23,False
RepMikeCoffman,3675,2009-01-23 19:04:01,False
coffmanforco,521,2010-02-09 17:59:02,False
RepCohen,11624,2010-07-02 15:10:21,False
ReElectCohen,610,2009-04-24 08:56:49,False
TomColeOK04,1943,2009-03-06 21:54:25,False
SenatorColeman,37,2009-05-07 05:20:28,False
normcoleman,1160,2012-10-04 02:10:54,False
RepDougCollins,4857,2013-01-04 13:43:55,False
douglas_collins,2,2020-01-29 12:50:40,False
SenatorCollins,3642,2009-01-29 18:56:59,False
RepComstock,3781,2014-12-20 15:03:37,False
BarbaraComstock,9444,2009-05-03 19:26:14,False
ConawayTX11,1127,2011-05-09 13:56:50,False
GerryConnolly,8162,2009-09-29 23:17:33,False
ElectConnolly,1017,2010-03-23 16:15:45,False
KentConrad,0,2010-07-02 18:58:22,False
RepJohnConyers,3384,2010-04-30 14:49:06,False
johnconyersjr,404,2011-03-14 19:09:16,False
RepPaulCook,1596,2013-01-09 17:43:44,False
ChrisCoons,13868,2008-07-05 11:17:54,False
SenCoonsOffice,2192,2011-12-13 04:02:30,False
repjimcooper,3949,2009-03-02 14:25:32,False
CoopForCongress,1164,2012-06-05 22:29:03,False
SenBobCorker,4288,2009-09-11 03:56:08,False
BobCorker,143,2011-04-16 16:54:25,False
JohnCornyn,36857,2008-02-07 19:52:55,False
TeamCornyn,5399,2013-08-05 15:52:50,False
RepLouCorrea,749,2017-01-02 18:16:08,False
SenCortezMasto,7417,2016-12-20 20:53:22,False
CatherineForNV,1998,2015-04-07 22:20:02,False
RepJimCosta,2839,2011-01-31 18:42:23,False
jerrycostello,51,2013-03-02 07:12:28,False
RyanCostello,1469,2018-04-13 00:37:27,False
SenTomCotton,9390,2012-11-24 19:33:10,False
TomCottonAR,4936,2011-07-26 23:57:10,False
RepJoeCourtney,7632,2009-10-26 19:45:09,False
JoeCourtneyCT,292,2010-08-26 20:01:13,False
SenMoCowan,249,2013-02-05 18:10:17,False
USALarryCraig,0,2010-07-07 16:15:39,True
kevincramer,1776,2009-04-02 02:58:44,False
MikeCrapo,7530,2012-06-05 22:16:35,False
chipcravaack,850,2009-12-19 02:53:28,False
RepRickCrawford,6518,2011-01-03 21:57:49,False
AnderCrenshaw,1157,2009-02-06 01:48:11,False
RepCharlieCrist,2996,2017-01-02 21:16:29,False
CharlieCrist,2821,2009-05-10 01:42:17,False
realMarkCritz,1902,2010-02-28 22:37:27,False
JoeCrowleyNY,6527,2010-02-05 16:39:11,False
SenTedCruz,13645,2013-01-09 18:11:37,False
tedcruz,27273,2009-03-06 03:20:20,False
RepCuellar,5870,2010-11-01 20:20:17,False
johnculberson,3764,2008-05-26 02:46:17,True
RepCummings,6921,2012-08-28 16:37:01,False
ReElectCummings,3331,2013-10-15 03:18:39,False
carloslcurbelo,6222,2014-10-31 14:01:43,False
CursonMI11,146,2012-08-15 21:57:03,False
SteveDaines,6552,2007-12-30 05:52:03,False
DainesforMT,1332,2010-11-12 05:15:26,False
WarrenDavidson,3715,2016-06-14 15:08:44,False
Vote_Davidson,313,2015-12-27 19:22:18,False
RepDannyDavis,3072,2012-08-29 12:31:09,False
RepGeoffDavis,2405,2011-01-17 22:33:06,False
RepSusanDavis,2506,2011-12-09 19:22:25,False
RodneyDavis,6804,2012-12-06 14:20:04,False
ElectRodney,1188,2012-05-20 21:07:52,False
RepPeterDeFazio,1811,2011-02-14 20:20:20,False
RepDianaDeGette,5738,2009-04-03 16:41:06,False
RepJohnDelaney,5553,2012-11-09 20:40:22,False
rosadelauro,7785,2010-05-05 18:11:32,False
Rosa_DeLauro,846,2012-10-20 15:42:46,False
RepDelBene,6474,2012-12-07 14:40:48,False
SuzanDelBene,1655,2009-05-19 22:14:44,False
RepValDemings,8072,2016-11-16 19:36:29,False
val_demings,552,2015-08-05 23:44:16,False
JimDeMint,6681,2007-10-17 22:26:53,False
JeffDenham,1264,2009-02-19 22:23:00,False
RepCharlieDent,2648,2011-01-24 16:58:11,False
DentforCongress,404,2010-04-12 15:37:21,False
repdesantis,0,2018-12-06 17:53:59,False
RonDeSantisFL,2787,2012-02-09 06:41:04,False
RepDeSaulnier,5421,2015-01-08 15:32:13,False
MarkDeSaulnier,613,2009-04-10 16:33:41,False
DesJarlaisTN04,5843,2011-01-07 21:47:44,False
tndesjarlais,368,2009-03-31 00:59:24,False
RepTedDeutch,9957,2010-04-27 19:51:54,False
TedDeutch,1345,2009-08-14 02:40:19,False
TedforCongress,312,2009-10-15 19:45:41,False
MarioDB,8710,2009-05-02 00:52:48,False
JohnDingell,5962,2010-01-27 18:53:50,False
RepDebDingell,4849,2015-01-09 19:15:50,False
DebDingell,420,2014-02-25 21:04:45,False
SenChrisDodd,923,2008-09-16 20:53:20,False
chrisdodd,5,2007-04-09 15:22:09,False
RepLloydDoggett,10011,2010-06-09 23:53:50,False
LloydDoggettTX,1308,2010-07-23 23:50:04,False
RepDold,3530,2011-01-31 16:44:15,False
ROBERTDOLD,1264,2009-08-27 01:26:19,False
SenDonnelly,6140,2010-11-16 22:24:01,False
JoeforIndiana,1532,2011-03-01 03:03:52,False
