"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","ï..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"656",21742,"C00618223","francis","rooney","francisrooney","FL","House",19,"R","1/3/2017","1/3/2019","reprooney",6,185,0,0,113,0.611,1,NA,NA,NA,10149,"Rooney, Francis",115,2017,"FL",19,0,2016,0,66,0.565999985,27,0,0,0,0,0,0,0,16,0,0,0,0,1,1,1,1,0,0,0,4356,0,0,0,0,1,0,0,0.293499976,0.067999981,17,1,1,1,0,0.24721773,NA,1,1.099563479,1,245,228
"657",21742,"C00618223","francis","rooney","francisrooney","FL","House",19,"R","1/3/2017","1/3/2019","FrancisRooney",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10149,"Rooney, Francis",115,2017,"FL",19,0,2016,0,66,0.565999985,27,0,0,0,0,0,0,0,16,0,0,0,0,1,1,1,1,0,0,0,4356,0,0,0,0,1,0,0,0.293499976,0.067999981,17,1,1,1,0,0.24721773,NA,1,1.099563479,1,245,228
"658",21743,"C00606939","jacky","rosen","jackyrosen","NV","House",3,"D","1/3/2017","1/3/2019","repjackyrosen",7,227,0,0,118,0.52,1,NA,NA,NA,10151,"Rosen, Jacky",115,2017,"NV",3,1,2016,1,47,-0.244000003,4,0,0,0,0,0,0,0,19,1,1,1,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,0,0,0.516499996,0.741999984,19,1,1,1,0,0.472487241,NA,1,0.508937299,2,203,100
"659",21743,"C00606939","jacky","rosen","jackyrosen","NV","House",3,"D","1/3/2017","1/3/2019","RosenforNevada",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10151,"Rosen, Jacky",115,2017,"NV",3,1,2016,1,47,-0.244000003,4,0,0,0,0,0,0,0,19,1,1,1,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,0,0,0.516499996,0.741999984,19,1,1,1,0,0.472487241,NA,1,0.508937299,2,203,100
"660",21744,"C00615294","john","rutherford","johnrutherford","FL","House",4,"R","1/3/2017","1/3/2019","reprutherfordfl",0,82,1,1,NA,NA,1,NA,NA,NA,10163,"Rutherford, John",115,2017,"FL",4,0,2016,0,70,0.345999986,27,0,0,1,0,1,1,0,11,6,5,5,0,0,0,0,0,0,0,0,4900,1,0,0,0,1,0,0,0.073499985,0.15200001,12,6,6,6,0,1.752930641,NA,1,1.099563479,3,245,68
"661",21744,"C00615294","john","rutherford","johnrutherford","FL","House",4,"R","1/3/2017","1/3/2019","JRutherfordFL",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10163,"Rutherford, John",115,2017,"FL",4,0,2016,0,70,0.345999986,27,0,0,1,0,1,1,0,11,6,5,5,0,0,0,0,0,0,0,0,4900,1,0,0,0,1,0,0,0.073499985,0.15200001,12,6,6,6,0,1.752930641,NA,1,1.099563479,3,245,68
"662",21745,"C00599464","lloyd","smucker","lloydsmucker","PA","House",16,"R","1/3/2017","1/3/2019","repsmucker",4,1857,1,1,NA,NA,1,NA,NA,NA,10197,"Smucker, Lloyd",115,2017,"PA",16,0,2016,0,54,0.397000015,18,0,0,0,0,0,0,0,13,2,3,3,0,0,0,0,0,0,0,0,2916,0,0,1,0.416999996,1,0,0,0.124500014,0.100999989,13,2,3,3,0,0.799009144,NA,1,1.099563479,2,245,162
"663",21745,"C00599464","lloyd","smucker","lloydsmucker","PA","House",16,"R","1/3/2017","1/3/2019","LloydSmuckerPA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10197,"Smucker, Lloyd",115,2017,"PA",16,0,2016,0,54,0.397000015,18,0,0,0,0,0,0,0,13,2,3,3,0,0,0,0,0,0,0,0,2916,0,0,1,0.416999996,1,0,0,0.124500014,0.100999989,13,2,3,3,0,0.799009144,NA,1,1.099563479,2,245,162
"664",21746,"C00581074","darren","soto","darrensoto","FL","House",9,"D","1/3/2017","1/3/2019","repdarrensoto",4,208,1,1,NA,NA,1,NA,NA,NA,10198,"Soto, Darren",115,2017,"FL",9,1,2016,0,58,-0.381999999,27,0,0,0,0,0,0,0,31,3,3,2,1,2,1,1,1,1,0,0,3364,0,0,1,0.245000005,0,0,0,0.654500008,0.879999995,33,4,4,3,2,1.539436936,NA,1,0.508937299,3,203,13
"665",21746,"C00581074","darren","soto","darrensoto","FL","House",9,"D","1/3/2017","1/3/2019","DarrenSoto",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10198,"Soto, Darren",115,2017,"FL",9,1,2016,0,58,-0.381999999,27,0,0,0,0,0,0,0,31,3,3,2,1,2,1,1,1,1,0,0,3364,0,0,1,0.245000005,0,0,0,0.654500008,0.879999995,33,4,4,3,2,1.539436936,NA,1,0.508937299,3,203,13
